stock_code,corp_name,market,corp_code,modify_date
086670,비엠티,KOSDAQ,00524786,20230516
086710,선진뷰티사이언스,KOSDAQ,00132202,20220801
086790,하나금융지주,KOSPI,00547583,20230922
086820,바이오솔루션,KOSDAQ,00560982,20230222
086890,이수앱지스,KOSDAQ,00526872,20221227
086900,메디톡스,KOSDAQ,00580199,20221206
086960,MDS테크,KOSDAQ,00445841,20230410
086980,쇼박스,KOSDAQ,00303794,20231101
087010,펩트론,KOSDAQ,00415868,20230220
087260,모바일어플라이언스,KOSDAQ,00556615,20220225
087600,픽셀플러스,KOSDAQ,00495086,20221214
088130,동아엘텍,KOSDAQ,00489243,20230216
088260,이리츠코크렙,KOSPI,00544452,20230328
088290,이원컴포텍,KOSDAQ,00409140,20230403
088350,한화생명,KOSPI,00113058,20220429
088390,이녹스,KOSDAQ,00494476,20230222
088790,진도,KOSPI,00557933,20221108
088800,에이스테크,KOSDAQ,00556907,20230703
088910,동우팜투테이블,KOSDAQ,00228712,20230403
088980,맥쿼리인프라,KOSPI,00435297,20200715
089010,켐트로닉스,KOSDAQ,00371485,20230223
089030,테크윙,KOSDAQ,00535676,20221130
089140,넥스턴바이오,KOSDAQ,00416414,20230223
089150,케이씨티,KOSDAQ,00441447,20230804
089230,THE E&M,KOSDAQ,00519252,20230209
089470,HDC현대EP,KOSPI,00357935,20230203
089530,에이티세미콘,KOSDAQ,00458562,20231006
089590,제주항공,KOSPI,00555874,20221227
089600,나스미디어,KOSDAQ,00486097,20230220
089790,제이티,KOSDAQ,00365457,20220214
089850,유비벨록스,KOSDAQ,00592653,20221219
089860,롯데렌탈,KOSPI,00545716,20230324
089890,코세스,KOSDAQ,00365934,20230222
089970,에이피티씨,KOSDAQ,00544577,20220418
089980,상아프론테크,KOSDAQ,00181299,20221230
090080,평화산업,KOSPI,00573579,20230330
090150,아이윈,KOSDAQ,00365624,20221130
090350,노루페인트,KOSPI,00583442,20221125
090360,로보스타,KOSDAQ,00536523,20221107
090370,메타랩스,KOSPI,00442835,20230613
090410,덕신하우징,KOSDAQ,00454937,20221130
090430,아모레퍼시픽,KOSPI,00583424,20230320
090460,비에이치,KOSPI,00447609,20230620
090470,제이스텍,KOSDAQ,00493185,20230220
090710,휴림로봇,KOSDAQ,00540429,20221207
090850,현대이지웰,KOSDAQ,00656951,20221206
091090,세원이앤씨,KOSPI,00585219,20230403
091120,이엠텍,KOSDAQ,00541163,20230221
091340,S&K폴리텍,KOSDAQ,00580667,20221130
091440,텔레필드,KOSDAQ,00560122,20221205
091580,상신이디피,KOSDAQ,00480783,20221107
091590,남화토건,KOSDAQ,00108001,20230222
091700,파트론,KOSDAQ,00490151,20230327
091810,티웨이항공,KOSPI,00671376,20230403
091970,나노캠텍,KOSDAQ,00542074,20231006
091990,셀트리온헬스케어,KOSDAQ,00554024,20221216
092040,아미코젠,KOSDAQ,00545734,20230314
092070,디엔에프,KOSDAQ,00569691,20221130
092130,이크레더블,KOSDAQ,00634728,20230330
092190,서울바이오시스,KOSDAQ,00488402,20230331
092200,디아이씨,KOSPI,00112165,20230216
092220,KEC,KOSPI,00589127,20230331
092230,KPX홀딩스,KOSPI,00587466,20221128
092300,현우산업,KOSDAQ,00367455,20230220
092440,기신정기,KOSPI,00106614,20220519
092460,한라IMS,KOSDAQ,00528515,20221202
092600,앤씨앤,KOSDAQ,00537337,20221201
092730,네오팜,KOSDAQ,00551920,20230713
092780,동양피스톤,KOSPI,00117726,20230221
092790,넥스틸,KOSPI,00220613,20231018
092870,엑시콘,KOSDAQ,00611736,20230615
093050,LF,KOSPI,00593032,20221209
093190,빅솔론,KOSDAQ,00478900,20230217
093230,이아이디,KOSPI,00480950,20231031
093240,형지엘리트,KOSPI,00441243,20220721
093320,케이아이엔엑스,KOSDAQ,00603348,20221226
093370,후성,KOSPI,00595191,20230222
093380,풍강,KOSDAQ,00155373,20221027
093520,매커스,KOSDAQ,00596677,20230410
093640,케이알엠,KOSDAQ,00536888,20230414
093920,서원인텍,KOSDAQ,00445799,20221220
094170,동운아나텍,KOSDAQ,00695969,20221130
094280,효성 ITX,KOSPI,00414850,20221207
094360,칩스앤미디어,KOSDAQ,00579971,20230222
